2B,3B,AB,BBA,BB,BPF,CG,CS,Color B,Color G,Color R,DP,Div Win,ERA,ER,E,FP,Franchise ID,G,Ghome,HA,HBP,HRA,HR,H,I Pouts,L,Lg Win,Number of Records,PPF,RA,R,Rank,SB,SF,SHO,SOA,SO,SV,WC Win,WS Win,W,Attendance,Div ID,Franch ID,Lg ID,Name,Park,Team IDBR,Team ID,teamIDlahman45,Team I Dretro,Year ID
228,37,5448,434,448,99,16,50,0,74,255,143,N,4.05,647,156,0.975,NYM,162,81,1483,,139,158,1350,4314,103,N,1,100,744,672,7,79,,8,867,879,22,,N,59,1873183,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1993
260,21,5543,680,622,94,8,59,30,178,239,161,N,4.9,791,111,0.982,OAK,162,81,1551,,157,158,1408,4356,94,N,1,94,846,715,7,131,,2,864,1048,42,,N,68,2035025,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1993
297,51,5685,573,665,99,24,32,68,18,212,123,Y,3.95,646,141,0.977,PHI,162,81,1419,,129,156,1555,4416,65,Y,1,98,740,877,1,91,,11,1117,1049,46,,N,97,3137674,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1993
267,50,5549,485,536,99,12,55,39,184,252,161,N,4.77,766,105,0.983,PIT,162,81,1557,,153,110,1482,4335,87,N,1,100,806,707,5,92,,5,832,972,34,,N,75,1650593,E,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1993
239,28,5503,558,443,102,8,41,97,44,4,129,N,4.23,675,160,0.974,SDP,162,81,1470,,148,153,1386,4311,101,N,1,102,772,679,7,92,,6,957,1046,32,,N,61,1375432,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1993
272,24,5494,605,624,101,22,68,92,91,0,173,N,4.2,678,90,0.985,SEA,162,81,1421,,135,161,1429,4359,80,N,1,102,731,734,4,91,,10,1083,901,41,,N,82,2052638,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1993
269,33,5557,442,516,97,4,65,25,72,255,169,N,3.61,584,101,0.984,SFG,162,81,1385,,168,168,1534,4368,59,N,1,96,636,808,2,120,,9,982,930,50,,N,103,2606354,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1993
262,34,5551,383,588,98,5,72,65,17,205,157,N,4.09,660,159,0.975,STL,162,81,1553,,152,118,1508,4359,75,N,1,98,744,758,3,153,,7,775,882,54,,N,87,2844977,E,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1993
284,39,5510,562,483,96,20,67,115,44,0,145,N,4.28,684,130,0.979,TEX,162,81,1476,,144,181,1472,4314,76,N,1,96,751,835,2,113,,6,957,984,45,,N,86,2244616,W,TEX,AL,Texas Rangers,Arlington Stadium,TEX,TEX,TEX,TEX,1993
317,42,5579,620,588,101,11,49,191,118,4,144,Y,4.21,674,107,0.982,TOR,162,81,1441,,134,159,1556,4323,67,Y,1,100,742,847,1,170,,11,1023,861,50,,Y,95,4057947,E,TOR,AL,Toronto Blue Jays,Skydome,TOR,TOR,TOR,TOR,1993
198,18,3861,378,377,102,16,31,65,17,207,85,,3.57,407,81,0.982,ATL,114,55,929,,76,137,1031,3078,46,,1,100,448,542,2,48,,4,865,668,26,,,68,2539240,E,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1994
185,20,3856,351,438,105,13,13,1,70,223,103,,4.31,477,57,0.986,BAL,112,55,1005,,131,139,1047,2991,49,,1,104,497,589,2,69,,3,666,655,37,,,63,2535359,E,BAL,AL,Baltimore Orioles,Oriole Park at Camden Yards,BAL,BAL,BAL,BAL,1994
222,19,3940,450,404,105,6,38,48,12,198,124,,4.93,564,81,0.981,BOS,115,64,1104,,120,120,1038,3087,61,,1,105,621,552,4,81,,1,729,723,30,,,54,1775818,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1994
178,16,3943,436,402,101,11,54,32,0,185,110,,5.42,618,76,0.983,ANA,115,63,1149,,150,120,1042,3081,68,,1,101,660,543,4,65,,3,682,715,21,,,47,1512622,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1994
175,39,3942,377,497,99,13,27,0,0,0,91,,3.95,444,79,0.981,CHW,113,53,964,,115,121,1133,3034,46,,1,98,498,633,1,77,,6,754,568,20,,,67,1697398,C,CHW,AL,Chicago White Sox,Comiskey Park II,CHW,CHA,CHA,CHA,1994
189,26,3918,392,364,99,5,53,134,51,12,110,,4.47,508,81,0.982,CHC,113,59,1054,,120,109,1015,3069,64,,1,99,549,500,5,69,,1,717,750,27,,,49,1845208,C,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1994
211,36,3999,339,388,99,6,51,31,1,198,91,,3.78,436,73,0.983,CIN,115,60,1037,,117,124,1142,3114,48,,1,99,490,609,1,119,,2,799,738,27,,,66,1897681,C,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1994
240,20,4022,404,382,99,17,48,59,8,215,119,,4.36,493,90,0.98,CLE,113,51,1097,,94,167,1165,3054,47,,1,97,562,679,2,131,,5,666,629,21,,,66,1995174,C,CLE,AL,Cleveland Indians,Jacobs Field,CLE,CLE,CLE,CLE,1994
206,39,4006,448,378,117,4,53,93,15,34,117,,5.15,590,84,0.981,COL,117,57,1185,,120,125,1098,3093,64,,1,118,638,573,3,91,,1,703,761,28,,,53,3281511,W,COL,NL,Colorado Rockies,Mile High Stadium,COL,COL,COL,COL,1994
216,25,3955,449,520,101,15,33,67,35,6,90,,5.38,609,82,0.981,DET,115,58,1139,,148,161,1048,3054,62,,1,101,671,652,5,46,,1,560,897,20,,,53,1184783,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1994
180,24,3926,428,349,102,5,26,51,101,243,111,,4.5,508,95,0.978,FLA,115,59,1069,,120,94,1043,3045,64,,1,103,576,468,5,65,,3,649,746,30,,,51,1937467,E,FLA,NL,Florida Marlins,Joe Robbie Stadium,FLA,FLO,FLO,FLO,1994
252,25,3955,367,394,95,9,44,42,73,214,110,,3.97,454,72,0.984,HOU,115,59,1043,,102,120,1099,3087,49,,1,94,503,602,2,124,,3,739,718,29,,,66,1561136,C,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1994
211,38,3911,392,376,104,5,62,116,44,0,102,,4.23,485,80,0.982,KCR,115,59,1018,,95,100,1051,3093,51,,1,104,532,574,3,140,,3,717,698,38,,,64,1400494,C,KCR,AL,Kansas City Royals,Kauffman Stadium,KCR,KCA,KCA,KCA,1994
160,29,3904,354,366,94,14,37,117,58,34,104,,4.23,477,88,0.98,LAD,114,55,1041,,90,115,1055,3042,56,,1,94,509,532,1,74,,4,732,687,20,,,58,2279355,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1994
239,23,3952,388,359,100,6,30,52,18,180,99,,5.68,634,75,0.982,MIN,113,59,1197,,153,103,1092,3015,60,,1,102,688,594,4,94,,2,602,635,29,,,53,1398565,C,MIN,AL,Minnesota Twins,Hubert H Humphrey Metrodome,MIN,MIN,MIN,MIN,1994
238,21,3978,421,417,104,11,37,72,43,22,130,,4.62,532,85,0.981,MIL,115,56,1071,,127,99,1045,3108,62,,1,105,586,547,5,59,,1,577,680,23,,,53,1268399,C,MIL,AL,Milwaukee Brewers,County Stadium,MIL,ML4,MIL,MIL,1994
246,30,4000,288,379,101,4,36,43,18,186,90,,3.56,410,94,0.979,WSN,114,52,970,,100,108,1111,3108,40,,1,101,454,585,1,137,,2,805,669,46,,,74,1276250,E,WSN,NL,Montreal Expos,Stade Olympique,MON,MON,MON,MON,1994
238,16,3986,398,530,97,8,40,67,28,0,122,,4.34,491,80,0.982,NYY,113,57,1045,,120,139,1155,3057,43,,1,96,534,670,1,55,,0,656,660,31,,,70,1675556,E,NYY,AL,New York Yankees,Yankee Stadium II,NYY,NYA,NYA,NYA,1994
164,21,3869,332,336,99,7,26,0,74,255,112,,4.13,469,89,0.98,NYM,113,53,1069,,117,117,966,3069,58,,1,99,526,506,3,25,,2,640,807,35,,,55,1151471,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1994
178,13,3885,510,417,91,12,39,30,178,239,105,,4.82,537,88,0.979,OAK,114,56,979,,128,113,1009,3009,63,,1,92,589,549,2,91,,3,732,686,23,,,51,1242692,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1994
208,28,3927,377,396,102,7,24,68,18,212,96,,3.85,438,94,0.978,PHI,115,60,1028,,98,80,1028,3072,61,,1,102,497,521,4,67,,1,699,711,30,,,54,2290971,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1994
198,23,3864,370,349,101,8,25,39,184,252,131,,4.64,518,89,0.981,PIT,114,61,1094,,117,80,1001,3015,61,,1,102,580,466,3,53,,1,650,725,24,,,53,1222520,C,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1994
200,19,4068,393,319,97,8,37,97,44,4,82,,4.08,474,111,0.975,SDP,117,57,1008,,99,92,1117,3135,70,,1,98,531,479,4,79,,3,862,762,27,,,47,953857,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1994
211,18,3883,486,372,102,13,21,92,91,0,102,,4.99,546,95,0.977,SEA,112,44,1051,,109,153,1045,2952,63,,1,102,616,569,3,48,,4,763,652,21,,,49,1104206,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1994
159,32,3869,372,364,94,2,40,25,72,255,113,,3.99,454,68,0.985,SFG,115,60,1014,,122,123,963,3075,60,,1,94,500,504,2,114,,0,655,719,33,,,55,1704608,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1994
213,27,3902,355,434,98,7,46,65,17,205,119,,5.14,581,80,0.982,STL,115,56,1154,,134,108,1026,3054,61,,1,99,621,535,3,76,,3,632,686,29,,,53,1866544,C,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1994
198,27,3983,394,437,100,10,35,115,44,0,106,,5.45,619,105,0.976,TEX,114,63,1176,,157,124,1114,3069,62,,1,101,697,613,1,82,,3,683,730,26,,,52,2503198,W,TEX,AL,Texas Rangers,The Ballpark at Arlington,TEX,TEX,TEX,TEX,1994
210,30,3962,482,387,100,13,26,191,118,4,105,,4.7,535,80,0.981,TOR,115,59,1053,,127,115,1064,3075,60,,1,100,579,566,3,79,,4,832,691,26,,,55,2907933,E,TOR,AL,Toronto Blue Jays,Skydome,TOR,TOR,TOR,TOR,1994
210,27,4814,436,520,103,18,43,65,17,207,113,Y,3.44,493,100,0.982,ATL,144,72,1184,,107,168,1202,3873,54,Y,1,102,540,645,1,73,,11,1087,933,34,N,Y,90,2561831,E,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1995
229,27,4837,523,574,102,19,45,1,70,223,141,N,4.31,607,72,0.986,BAL,144,72,1165,,149,173,1267,3801,73,N,1,101,640,704,3,92,,10,930,803,29,N,N,71,3098475,E,BAL,AL,Baltimore Orioles,Oriole Park at Camden Yards,BAL,BAL,BAL,BAL,1995
286,31,4997,476,560,103,7,44,48,12,198,151,Y,4.39,630,120,0.978,BOS,144,72,1338,,127,175,1399,3876,58,N,1,103,698,791,1,99,,9,888,923,39,N,N,86,2164410,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1995
252,25,5019,486,564,99,8,39,32,0,185,120,N,4.52,645,95,0.982,ANA,145,72,1310,,163,186,1390,3852,67,N,1,99,697,801,2,58,,9,901,889,42,N,N,78,1748680,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1995
252,37,5060,617,576,96,12,39,0,0,0,131,N,4.85,692,108,0.98,CHW,145,72,1374,,164,146,1417,3852,76,N,1,95,758,755,3,110,,4,892,767,36,N,N,68,1609773,C,CHW,AL,Chicago White Sox,Comiskey Park II,CHW,CHA,CHA,CHA,1995
267,39,4963,518,440,98,6,37,134,51,12,115,N,4.13,597,115,0.979,CHC,144,72,1313,,162,158,1315,3903,71,N,1,98,671,693,3,105,,12,926,953,45,N,N,73,1918265,C,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1995
277,35,4903,424,519,100,8,68,31,1,198,140,Y,4.03,577,79,0.986,CIN,144,72,1270,,131,161,1326,3867,59,N,1,99,623,747,1,190,,10,903,946,38,N,N,85,1837649,C,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1995
279,23,5028,445,542,101,10,53,59,8,215,142,Y,3.83,554,101,0.982,CLE,144,72,1261,,135,207,1461,3903,44,Y,1,99,607,840,1,132,,10,926,766,50,N,N,100,2842745,C,CLE,AL,Cleveland Indians,Jacobs Field,CLE,CLE,CLE,CLE,1995
259,43,4994,512,484,129,1,59,93,15,34,146,N,4.97,711,107,0.981,COL,144,72,1443,,160,200,1406,3864,67,N,1,129,783,785,2,125,,1,891,943,43,Y,N,77,3390037,W,COL,NL,Colorado Rockies,Coors Field,COL,COL,COL,COL,1995
228,29,4865,536,551,100,5,36,67,35,6,143,N,5.49,778,106,0.981,DET,144,72,1509,,170,159,1204,3825,84,N,1,101,844,654,4,73,,3,729,987,38,N,N,60,1180979,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1995
214,29,4886,562,517,101,12,53,51,101,243,143,N,4.27,610,115,0.979,FLA,143,71,1299,,139,144,1278,3858,76,N,1,101,673,673,4,131,,7,994,916,29,N,N,67,1700466,E,FLA,NL,Florida Marlins,Joe Robbie Stadium,FLA,FLO,FLO,FLO,1995
260,22,5097,460,566,93,6,60,42,73,214,120,N,4.06,595,121,0.979,HOU,144,72,1357,,118,109,1403,3960,68,N,1,93,674,747,2,176,,8,1056,992,32,N,N,76,1363801,C,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1995
240,35,4903,503,475,101,11,53,116,44,0,168,N,4.49,643,90,0.984,KCR,144,72,1323,,142,119,1275,3864,74,N,1,101,691,629,2,120,,10,763,849,37,N,N,70,1233530,C,KCR,AL,Kansas City Royals,Kauffman Stadium,KCR,KCA,KCA,KCA,1995
191,31,4942,462,468,91,16,45,117,58,34,120,Y,3.66,527,130,0.976,LAD,144,72,1188,,125,140,1303,3885,66,N,1,91,609,634,1,127,,11,1060,1023,37,N,N,78,2766251,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1995
270,34,5005,533,471,101,7,57,52,18,180,141,N,5.76,814,100,0.981,MIN,144,72,1450,,210,120,1398,3816,88,N,1,102,889,703,5,105,,2,790,916,27,N,N,56,1057667,C,MIN,AL,Minnesota Twins,Hubert H Humphrey Metrodome,MIN,MIN,MIN,MIN,1995
249,42,5000,603,502,105,7,40,72,43,22,186,N,4.82,689,105,0.981,MIL,144,72,1391,,146,128,1329,3858,79,N,1,105,747,740,4,105,,4,699,800,31,N,N,65,1087560,C,MIL,AL,Milwaukee Brewers,County Stadium,MIL,ML4,MIL,MIL,1995
265,24,4905,416,400,104,7,49,43,18,186,119,N,4.11,586,109,0.98,WSN,144,72,1286,,128,118,1268,3849,78,N,1,103,638,621,5,120,,9,950,901,42,N,N,66,1309618,E,WSN,NL,Montreal Expos,Stade Olympique,MON,MON,MON,MON,1995
280,34,4947,535,625,99,18,30,67,28,0,121,N,4.56,651,73,0.986,NYY,145,73,1286,,159,122,1365,3852,65,N,1,98,688,749,2,50,,5,908,851,35,Y,N,79,1705263,E,NYY,AL,New York Yankees,Yankee Stadium II,NYY,NYA,NYA,NYA,1995
218,34,4958,401,446,96,9,39,0,74,255,125,N,3.88,557,115,0.979,NYM,144,72,1296,,133,125,1323,3873,75,N,1,97,618,657,2,58,,9,901,994,36,N,N,69,1273183,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1995
228,18,4916,556,565,91,8,46,30,178,239,151,N,4.93,697,101,0.981,OAK,144,72,1320,,153,169,1296,3819,77,N,1,91,761,730,4,112,,4,890,911,34,N,N,67,1174310,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1995
263,30,4950,538,497,100,8,25,68,18,212,139,N,4.21,603,96,0.982,PHI,144,72,1241,,134,94,1296,3870,75,N,1,101,658,615,2,72,,8,980,884,41,N,N,69,2043598,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1995
245,27,4937,477,456,102,11,55,39,184,252,138,N,4.7,666,121,0.978,PIT,144,72,1407,,130,125,1281,3825,86,N,1,103,736,629,5,84,,7,871,972,29,N,N,58,905517,C,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1995
231,20,4950,512,447,97,6,46,97,44,4,130,N,4.13,589,108,0.98,SDP,144,72,1242,,142,116,1345,3852,74,N,1,97,672,668,3,124,,10,1047,872,35,N,N,70,1041805,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1995
276,20,4996,591,549,101,9,41,92,91,0,108,Y,4.5,644,104,0.98,SEA,145,73,1343,,149,182,1377,3868,66,N,1,101,708,796,1,110,,8,1068,871,39,N,N,79,1643203,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1995
229,33,4971,505,472,96,12,46,25,72,255,142,N,4.86,698,106,0.981,SFG,144,72,1368,,173,152,1256,3879,77,N,1,97,776,652,4,138,,5,801,1060,34,N,N,67,1241500,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1995
238,24,4779,445,436,99,4,46,65,17,205,156,N,4.09,575,113,0.98,STL,143,72,1290,,135,107,1182,3795,81,N,1,100,658,563,4,79,,6,842,920,38,N,N,62,1756727,C,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1995
247,24,4913,514,526,103,14,47,115,44,0,156,N,4.66,665,98,0.982,TEX,144,72,1385,,152,138,1304,3855,70,N,1,103,720,691,3,90,,4,838,877,34,N,N,74,1985910,W,TEX,AL,Texas Rangers,The Ballpark at Arlington,TEX,TEX,TEX,TEX,1995
275,27,5036,654,492,99,16,16,191,118,4,131,N,4.88,701,97,0.982,TOR,144,72,1336,,145,140,1309,3876,88,N,1,100,777,642,5,75,,8,894,906,22,N,N,56,2826483,E,TOR,AL,Toronto Blue Jays,Skydome,TOR,TOR,TOR,TOR,1995
264,28,5614,451,530,106,14,43,65,17,207,143,Y,3.54,578,130,0.98,ATL,162,81,1372,,120,197,1514,4407,66,Y,1,104,648,773,1,83,,9,1245,1032,46,N,N,96,2901242,E,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1996
299,29,5689,597,645,100,13,40,1,70,223,173,N,5.15,840,97,0.984,BAL,163,82,1604,,209,257,1557,4404,74,N,1,99,903,949,2,76,,2,1047,915,44,Y,N,88,3646950,E,BAL,AL,Baltimore Orioles,Oriole Park at Camden Yards,BAL,BAL,BAL,BAL,1996
308,31,5756,722,642,101,17,44,48,12,198,152,N,5,810,135,0.978,BOS,162,81,1606,,185,209,1631,4374,77,N,1,101,921,928,3,91,,5,1165,1020,37,N,N,85,2315231,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1996
256,24,5686,662,527,98,12,39,32,0,185,156,N,5.31,849,128,0.979,ANA,161,81,1546,,219,192,1571,4317,91,N,1,98,943,762,4,53,,8,1052,974,38,N,N,70,1820521,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1996
284,33,5644,616,701,95,7,41,0,0,0,145,N,4.53,735,109,0.982,CHW,162,81,1529,,174,195,1586,4383,77,N,1,95,794,898,2,105,,5,1039,927,43,N,N,85,1676403,C,CHW,AL,Chicago White Sox,Comiskey Park II,CHW,CHA,CHA,CHA,1996
267,19,5531,546,523,103,10,50,134,51,12,147,N,4.36,705,104,0.983,CHC,162,81,1447,,184,175,1388,4368,86,N,1,103,771,772,4,108,,11,1027,1090,34,N,N,76,2219110,C,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1996
259,36,5455,591,604,101,6,63,31,1,198,145,N,4.33,694,121,0.98,CIN,162,81,1447,,167,191,1398,4329,81,N,1,101,773,778,3,171,,8,1089,1134,52,N,N,81,1861428,C,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1996
335,23,5681,484,671,99,13,50,59,8,215,156,Y,4.35,702,124,0.98,CLE,161,80,1530,,173,218,1665,4356,62,N,1,98,769,952,1,160,,9,1033,844,46,N,N,99,3318174,C,CLE,AL,Cleveland Indians,Jacobs Field,CLE,CLE,CLE,CLE,1996
297,37,5590,624,527,123,5,66,93,15,34,167,N,5.6,885,149,0.976,COL,162,81,1597,,198,221,1607,4266,79,N,1,124,964,961,3,201,,5,932,1108,34,N,N,83,3891014,W,COL,NL,Colorado Rockies,Coors Field,COL,COL,COL,COL,1996
257,21,5530,784,546,100,10,50,67,35,6,157,N,6.38,1015,135,0.978,DET,162,81,1699,,241,204,1413,4296,109,N,1,102,1103,783,5,87,,4,957,1268,22,N,N,53,1168610,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1996
240,30,5498,598,553,97,8,46,51,101,243,187,N,3.95,633,111,0.982,FLA,162,81,1386,,113,150,1413,4329,82,N,1,97,703,688,3,99,,13,1050,1122,41,N,N,80,1746767,E,FLA,NL,Florida Marlins,Joe Robbie Stadium,FLA,FLO,FLO,FLO,1996
297,29,5508,539,554,92,13,63,42,73,214,130,N,4.38,704,138,0.978,HOU,162,81,1541,,154,129,1445,4341,80,N,1,92,792,753,2,180,,4,1163,1057,35,N,N,82,1975888,C,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1996
286,38,5542,460,529,99,17,85,116,44,0,184,N,4.55,733,111,0.982,KCR,161,80,1563,,176,123,1477,4350,86,N,1,100,786,746,5,195,,8,926,943,35,N,N,75,1435997,C,KCR,AL,Kansas City Royals,Kauffman Stadium,KCR,KCA,KCA,KCA,1996
215,33,5538,534,516,93,6,40,117,58,34,143,N,3.48,567,125,0.98,LAD,162,81,1378,,125,150,1396,4398,72,N,1,92,652,703,2,124,,9,1212,1190,50,Y,N,90,3188454,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1996
332,47,5673,581,576,101,13,53,52,18,180,142,N,5.3,847,94,0.984,MIN,162,82,1561,,233,118,1633,4317,84,N,1,102,900,877,4,143,,5,959,958,31,N,N,78,1437352,C,MIN,AL,Minnesota Twins,Hubert H Humphrey Metrodome,MIN,MIN,MIN,MIN,1996
304,40,5662,635,624,104,6,48,72,43,22,180,N,5.17,831,134,0.978,MIL,162,81,1570,,213,178,1578,4341,82,N,1,104,899,894,3,101,,5,846,986,42,N,N,80,1327155,C,MIL,AL,Milwaukee Brewers,County Stadium,MIL,ML4,MIL,MIL,1996
297,27,5505,482,492,102,11,34,43,18,186,121,N,3.78,605,126,0.98,WSN,162,81,1353,,152,148,1441,4324,74,N,1,102,668,741,2,108,,7,1206,1077,43,N,N,88,1616709,E,WSN,NL,Montreal Expos,Stade Olympique,MON,MON,MON,MON,1996
293,28,5628,610,632,101,6,46,67,28,0,146,Y,4.65,744,91,0.985,NYY,162,80,1469,,143,162,1621,4320,70,Y,1,100,787,871,1,96,,9,1139,909,52,N,Y,92,2250877,E,NYY,AL,New York Yankees,Yankee Stadium II,NYY,NYA,NYA,NYA,1996
267,47,5618,532,445,95,10,48,0,74,255,163,N,4.22,675,157,0.975,NYM,162,81,1517,,159,147,1515,4320,91,N,1,95,779,746,4,97,,10,999,1069,41,N,N,71,1588323,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1996
283,21,5630,644,640,101,7,35,30,178,239,195,N,5.2,841,102,0.984,OAK,162,81,1638,,205,243,1492,4368,84,N,1,102,900,861,3,58,,5,884,1114,34,N,N,78,1148380,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1996
249,39,5499,510,536,100,12,41,68,18,212,145,N,4.49,710,115,0.981,PHI,162,81,1463,,160,132,1405,4269,95,N,1,101,790,650,5,117,,6,1044,1092,42,N,N,67,1801677,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1996
319,33,5665,479,510,104,5,49,39,184,252,144,N,4.64,750,128,0.98,PIT,162,80,1602,,183,138,1509,4360,89,N,1,104,833,776,5,126,,7,1044,989,37,N,N,73,1332150,C,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1996
285,24,5655,506,601,95,5,55,97,44,4,136,Y,3.73,617,118,0.981,SDP,162,81,1395,,138,147,1499,4467,71,N,1,95,682,771,1,109,,11,1194,1014,47,N,N,91,2187886,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1996
343,19,5668,605,670,100,4,39,92,91,0,155,N,5.21,828,110,0.981,SEA,161,81,1562,,216,245,1625,4293,76,N,1,99,895,993,2,90,,4,1000,1052,34,N,N,85,2723850,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1996
245,21,5533,570,615,95,9,53,25,72,255,165,N,4.72,756,134,0.978,SFG,162,82,1520,,194,153,1400,4326,94,N,1,96,862,752,4,113,,8,997,1189,35,N,N,68,1413922,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1996
281,31,5502,539,495,100,13,58,65,17,205,139,Y,3.98,642,125,0.98,STL,162,81,1380,,173,142,1468,4356,74,N,1,100,706,759,1,149,,11,1050,1089,43,N,N,88,2654718,C,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1996
323,32,5702,582,660,105,19,26,115,44,0,150,Y,4.66,750,87,0.986,TEX,163,81,1569,,168,221,1622,4347,72,N,1,105,799,928,1,83,,6,976,1041,43,N,N,90,2889020,W,TEX,AL,Texas Rangers,The Ballpark at Arlington,TEX,TEX,TEX,TEX,1996
302,35,5599,610,529,99,19,38,191,118,4,187,N,4.58,735,110,0.982,TOR,162,81,1476,,187,177,1451,4335,88,N,1,100,809,766,4,116,,7,1033,1105,35,N,N,74,2559573,E,TOR,AL,Toronto Blue Jays,Skydome,TOR,TOR,TOR,TOR,1996
279,25,5628,605,617,102,9,72,32,0,185,140,N,4.52,730,126,0.98,ANA,162,82,1506,,202,161,1531,4362,78,N,1,102,794,829,2,126,,5,1050,953,39,N,N,84,1767330,W,ANA,AL,Anaheim Angels,Edison International Field,ANA,ANA,ANA,ANA,1997
268,37,5528,450,597,102,21,58,65,17,207,136,Y,3.18,518,114,0.982,ATL,162,81,1319,,111,174,1490,4395,61,N,1,99,581,791,1,108,,17,1196,1160,37,N,N,101,3464488,E,ATL,NL,Atlanta Braves,Turner Field,ATL,ATL,ATL,ATL,1997
264,22,5584,563,586,97,8,26,1,70,223,148,Y,3.91,635,97,0.984,BAL,162,81,1404,,164,196,1498,4383,64,N,1,96,681,812,1,63,,10,1139,952,59,N,N,98,3711132,E,BAL,AL,Baltimore Orioles,Oriole Park at Camden Yards,BAL,BAL,BAL,BAL,1997
