2B,3B,AB,BBA,BB,BPF,CG,CS,Color B,Color G,Color R,DP,Div Win,ERA,ER,E,FP,Franchise ID,G,Ghome,HA,HBP,HRA,HR,H,I Pouts,L,Lg Win,Number of Records,PPF,RA,R,Rank,SB,SF,SHO,SOA,SO,SV,WC Win,WS Win,W,Attendance,Div ID,Franch ID,Lg ID,Name,Park,Team IDBR,Team ID,teamIDlahman45,Team I Dretro,Year ID
277,38,5521,637,564,100,23,35,92,91,0,156,N,4.68,745,122,0.98,SEA,162,83,1456,,154,171,1410,4296,88,N,1,101,818,719,6,94,,8,868,942,30,,N,74,1128696,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1985
217,31,5420,572,488,95,13,55,25,72,255,134,N,3.61,581,144,0.977,SFG,162,81,1348,,125,115,1263,4344,100,N,1,96,674,556,6,99,,5,985,962,24,,N,62,818697,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1985
245,59,5467,453,586,100,37,96,65,17,205,166,Y,3.1,504,108,0.983,STL,162,81,1343,,98,87,1446,4392,61,Y,1,99,572,747,1,314,,20,798,853,44,,N,101,2637563,E,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1985
213,41,5361,501,530,101,18,76,115,44,0,145,N,4.56,715,119,0.98,TEX,161,80,1479,,173,129,1359,4233,99,N,1,102,785,617,7,130,,5,863,819,33,,N,62,1112497,W,TEX,AL,Texas Rangers,Arlington Stadium,TEX,TEX,TEX,TEX,1985
281,53,5508,484,503,104,18,77,191,118,4,164,Y,3.31,533,125,0.98,TOR,161,80,1312,,147,158,1482,4344,62,N,1,103,588,759,1,144,,9,823,807,47,,N,99,2468925,E,TOR,AL,Toronto Blue Jays,Exhibition Stadium,TOR,TOR,TOR,TOR,1985
241,24,5384,576,538,105,17,76,65,17,207,181,N,3.97,628,141,0.978,ATL,161,81,1443,,117,138,1348,4272,89,N,1,106,719,615,6,93,,5,932,904,39,,N,72,1387181,W,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1986
223,13,5524,535,563,98,17,34,1,70,223,163,N,4.3,686,135,0.978,BAL,162,79,1451,,177,169,1425,4308,89,N,1,99,760,708,7,64,,6,954,862,39,,N,73,1973176,E,BAL,AL,Baltimore Orioles,Memorial Stadium,BAL,BAL,BAL,BAL,1986
320,21,5498,474,595,101,36,34,48,12,198,146,Y,3.93,624,129,0.979,BOS,161,81,1469,,167,144,1488,4287,66,Y,1,100,696,794,1,41,,6,1033,707,41,,N,95,2147641,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1986
236,36,5433,478,671,99,29,42,32,0,185,156,Y,3.84,621,107,0.983,ANA,162,82,1356,,153,167,1387,4368,70,N,1,99,684,786,1,109,,12,955,860,40,,N,92,2655872,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1986
197,34,5406,561,487,104,18,54,0,0,0,142,N,3.93,630,117,0.981,CHW,162,81,1361,,143,121,1335,4326,90,N,1,104,699,644,5,115,,8,895,940,38,,N,72,1424313,W,CHW,AL,Chicago White Sox,Comiskey Park,CHW,CHA,CHA,CHA,1986
258,27,5499,557,508,107,11,62,134,51,12,147,N,4.49,721,124,0.98,CHC,160,80,1546,,143,155,1409,4335,90,N,1,108,781,680,5,132,,6,962,966,42,,N,70,1859102,E,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1986
237,35,5536,524,586,104,14,53,31,1,198,160,N,3.91,638,140,0.978,CIN,162,81,1465,,136,144,1404,4404,76,N,1,104,717,732,2,177,,8,924,920,45,,N,86,1692432,W,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1986
270,45,5702,605,456,98,31,54,59,8,215,148,N,4.58,736,156,0.975,CLE,163,81,1548,,167,157,1620,4341,78,N,1,99,841,831,5,141,,7,744,944,34,,N,84,1471805,E,CLE,AL,Cleveland Indians,Cleveland Stadium,CLE,CLE,CLE,CLE,1986
234,30,5512,571,613,100,33,58,67,35,6,163,N,4.02,645,108,0.982,DET,162,81,1374,,183,198,1447,4329,75,N,1,99,714,798,3,138,,12,880,885,38,,N,87,1899437,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1986
244,32,5441,523,536,97,18,75,42,73,214,108,Y,3.15,510,130,0.978,HOU,162,81,1203,,116,125,1388,4368,66,N,1,96,569,654,1,163,,19,1160,916,51,,N,96,1734276,W,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1986
264,45,5561,479,474,102,24,46,116,44,0,153,N,3.82,611,123,0.98,KCR,162,81,1413,,121,137,1403,4320,86,N,1,101,673,654,3,97,,13,888,919,31,,N,76,2320794,W,KCR,AL,Kansas City Royals,Royals Stadium,KCR,KCA,KCA,KCA,1986
232,14,5471,499,478,93,35,67,117,58,34,118,N,3.76,607,179,0.972,LAD,162,81,1428,,115,130,1373,4362,89,N,1,93,679,638,5,155,,14,1051,966,25,,N,73,3023208,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1986
