Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,5,BOS,1986
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1986
1,NYY,AL,Rickey,Rickey Nelson Henley,Henderson,henderi01,henderi01,NYA,7,NYA,1986
1,MIN,AL,Kirby,Kirby,Puckett,puckeki01,puckeki01,MIN,8,MIN,1986
1,NYY,AL,Dave,David Mark,Winfield,winfida01,winfida01,NYA,9,NYA,1986
1,BAL,AL,Don,Donald William,Aase,aasedo01,aasedo01,BAL,,BAL,1986
1,CHW,AL,Harold,Harold Douglas,Baines,baineha01,baineha01,CHA,,CHA,1986
1,TOR,AL,Jesse,Jesse Lee,Barfield,barfije01,barfije01,TOR,,TOR,1986
1,KCR,AL,George,George Howard,Brett,brettge01,brettge01,KCA,,KCA,1986
1,OAK,AL,Jose,Jose,Canseco,cansejo01,cansejo01,OAK,,OAK,1986
1,TOR,AL,Tony,Octavio Antonio,Fernandez,fernato01,fernato01,TOR,,TOR,1986
1,BOS,AL,Rich,Richard Leo,Gedman,gedmari01,gedmari01,BOS,,BOS,1986
1,DET,AL,Willie,Guillermo,Hernandez,hernawi01,hernawi01,DET,,DET,1986
1,MIL,AL,Teddy,Teodoro Valenzuela,Higuera,higuete01,higuete01,ML4,,ML4,1986
1,TEX,AL,Charlie,Charles Oliver,Hough,houghch01,houghch01,TEX,,TEX,1986
1,CLE,AL,Brook,Brook Wallace,Jacoby,jacobbr01,jacobbr01,CLE,,CLE,1986
1,NYY,AL,Don,Donald Arthur,Mattingly,mattido01,mattido01,NYA,,NYA,1986
1,TOR,AL,Lloyd,Lloyd Anthony,Moseby,mosebll01,mosebll01,TOR,,TOR,1986
1,BAL,AL,Eddie,Eddie Clarence,Murray,murraed02,murraed02,BAL,,BAL,1986
1,SEA,AL,Jim,James Arthur,Presley,preslji01,preslji01,SEA,,SEA,1986
1,BOS,AL,Jim,James Edward,Rice,riceji01,riceji01,BOS,,BOS,1986
1,NYY,AL,Dave,David Allan,Righetti,righeda01,righeda01,NYA,,NYA,1986
1,CLE,AL,Ken,Kenneth Marvin,Schrom,schroke01,schroke01,CLE,,CLE,1986
